platform,listing_id,title,category,brand,condition,listed_price,sold_price,date_listed,date_sold,status,days_to_sell,days_active
depop,D0001,One Small Left! Red Lace Dress,dresses,Other,good,15.0,15.0,2020-11-05,2021-01-03,sold,59.0,
depop,D0002,Brand New With Tag Juicy Couture,accessories,Juicy Couture,good,25.0,25.0,2020-08-08,2021-01-04,sold,149.0,
depop,D0003,Red Cream Green Dome Rings &,accessories,Other,good,20.0,20.0,2021-01-04,2021-01-04,sold,0.0,
depop,D0004,White/Cream Rings :) Have Flaws! Price,accessories,Other,good,10.0,10.0,2021-01-05,2021-01-05,sold,0.0,
depop,D0005,Cream And Burnt Orange Dome Rings,accessories,Other,good,9.0,9.0,2021-01-06,2021-01-06,sold,0.0,
depop,D0006,One Cream Dome And One Flat,accessories,Other,good,24.0,24.0,2021-01-06,2021-01-06,sold,0.0,
depop,D0007,4 Dome Rings And 2 Flat,accessories,Other,good,1.0,1.0,2021-01-06,2021-01-06,sold,0.0,
depop,D0008,3 Dome Rings 1 Stone Ring,accessories,Other,good,30.0,30.0,2021-01-06,2021-01-07,sold,1.0,
depop,D0009,Bundle For @Pickturethis ! Blue Stone,accessories,Other,good,21.0,21.0,2021-01-08,2021-01-08,sold,0.0,
depop,D0010,Blue Stone Ring And Yellow Flat,accessories,Other,good,12.0,12.0,2021-01-08,2021-01-08,sold,0.0,
depop,D0011,Bundle For @Osaodj ! Red Dome,accessories,Other,good,18.0,18.0,2021-01-08,2021-01-08,sold,0.0,
depop,D0012,Jade Green Dome Ring Size 6.5,accessories,Other,good,4.0,4.0,2021-01-05,2021-01-10,sold,5.0,
depop,D0013,Silver Glitter Chunky Plastic Rings 1,accessories,Other,good,5.0,5.0,2021-01-06,2021-01-10,sold,4.0,
depop,D0014,Green Dome Ring Size 5 For,accessories,Other,good,6.0,6.0,2021-01-10,2021-01-10,sold,0.0,
depop,D0015,Cream Point Ring And Green Dome,accessories,Other,good,12.0,12.0,2021-01-10,2021-01-10,sold,0.0,
depop,D0016,Custom For @Peyton4612 Green And Burnt,accessories,Other,good,12.0,12.0,2021-01-10,2021-01-10,sold,0.0,
depop,D0017,Burnt Orange And Green Dome Rings,accessories,Other,good,12.0,12.0,2021-01-10,2021-01-10,sold,0.0,
depop,D0018,Listing For @Sarasungastelum !,accessories,Other,good,1.0,1.0,2021-01-10,2021-01-10,sold,0.0,
depop,D0019,Silver Glitter Chunky Plastic Rings 1,accessories,Other,good,5.0,5.0,2021-01-06,2021-01-11,sold,5.0,
depop,D0020,Burnt Orange Dome Ring Size 7,accessories,Other,good,12.0,12.0,2021-01-11,2021-01-11,sold,0.0,
depop,D0021,Cream Clear Green & Blue Dome,accessories,Other,good,24.0,24.0,2021-01-11,2021-01-11,sold,0.0,
depop,D0022,Burnt Orange Dome Ring Size 6,accessories,Other,good,6.0,6.0,2021-01-11,2021-01-11,sold,0.0,
depop,D0023,Cream Round Ring Size 8 +,accessories,Other,good,1.0,1.0,2021-01-05,2021-01-11,sold,6.0,
depop,D0024,Blue Transparent Stone Shaped Chunky Plastic,accessories,Other,good,4.0,4.0,2021-01-06,2021-01-12,sold,6.0,
depop,D0025,Size 5 Left Blue Transparent Stone,accessories,Other,good,4.0,4.0,2021-01-06,2021-01-13,sold,7.0,
depop,D0026,Purple Translucent Dome Ring Size 7,accessories,Other,good,5.0,5.0,2021-01-12,2021-01-13,sold,1.0,
depop,D0027,Listing For @Rye_Alie :),accessories,Other,good,1.0,1.0,2021-01-13,2021-01-13,sold,0.0,
