platform,listing_id,title,category,brand,condition,listed_price,sold_price,date_listed,date_sold,status,days_to_sell,days_active
depop,D001,Princess Polly Eden Lace Up Corset,tops,Princess Polly,good,23,23,3/4/25,3/7/25,sold,3,
depop,D002,Princess Polly Lioness Deei Double Ruffle,bottoms,Princess Polly,good,25,25,6/23/25,6/24/25,sold,1,
depop,D003,Edikted Margaret Pleated Ribbon Mini Skort,bottoms,Edikted,good,15,15,6/23/25,6/24/25,sold,1,
depop,D004,Edikted Spencer Low Rise Denim Micro,bottoms,Edikted,good,14,14,6/23/25,6/24/25,sold,1,
depop,D005,Bundle For @Aannmariee,bottoms,PacSun,good,30,30,6/23/25,6/25/25,sold,2,
depop,D006,En Route Jewelry Daisy Pearl Necklace,accessories,Other,good,30,30,6/24/25,6/25/25,sold,1,
depop,D007,Baggy Jorts Cargo Jean Shorts Light,bottoms,Other,good,11,11,6/23/25,6/25/25,sold,2,
depop,D008,Edikted Ariana Grey Mini Micro Pleated,bottoms,Edikted,good,18,18,6/23/25,6/26/25,sold,3,
depop,D009,Grey Lace Lingerie Slip With Ribbon,tops,Other,good,8.2,8.2,6/23/25,6/27/25,sold,4,
depop,D010,Light Green Ruched Tie Up Crop,tops,Other,good,10,10,6/23/25,6/27/25,sold,4,
depop,D011,Black Lace Mini Romper Dress With,jumpsuits,Other,good,10,10,6/23/25,6/27/25,sold,4,
depop,D012,Handmade Screenprinted Black And White Baby,tops,Other,good,12.75,12.75,6/23/25,6/28/25,sold,5,
depop,D013,Lululemon Cropped Red Align Tank Lunar,tops,Lululemon,good,26,26,6/23/25,6/29/25,sold,6,
depop,D014,Brandy Melville John Galt White Lace,tops,Brandy Melville,good,8.5,8.5,6/23/25,6/30/25,sold,7,
depop,D015,Pacsun La Hearts Green Parachute Shorts,bottoms,PacSun,good,8.5,8.5,6/23/25,6/30/25,sold,7,
depop,D016,Black Mini Skirt With Ruffle Detail,bottoms,Other,good,11.05,11.05,6/23/25,6/30/25,sold,7,
